,Unnamed: 0,red_cube_start,blue_cube_start,yellow_cube_start,green_cube_start,Text Question,block_for_task,cat,other_blocks,red_cube_goal,blue_cube_goal,yellow_cube_goal,green_cube_goal,observation
353,353,"(0.15, 0.25, 0.02)","(0.0, 0.4, 0.02)","(0.0, 0.55, 0.02)","(0.3, 0.25, 0.02)",Take the block that is rightmost and place it at [0.15 0.4 ],3,0,,"(0.15, 0.25, 0.02)","(0.0, 0.4, 0.02)","(0.0, 0.55, 0.02)","(0.15, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.15, 0.25)
Green Cube: (0.3, 0.25)
Blue Cube: (0.0, 0.4)
Yellow Cube: (0.0, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
354,354,"(0.0, 0.25, 0.02)","(-0.15, 0.25, 0.02)","(-0.15, 0.55, 0.02)","(0.3, 0.4, 0.02)",Take the block that is coloured sunflower-hued and place it at [0.15 0.55],2,0,,"(0.0, 0.25, 0.02)","(-0.15, 0.25, 0.02)","(0.15, 0.55, 0.02)","(0.3, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.0, 0.25)
Green Cube: (0.3, 0.4)
Blue Cube: (-0.15, 0.25)
Yellow Cube: (-0.15, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
355,355,"(-0.3, 0.25, 0.02)","(-0.15, 0.4, 0.02)","(-0.3, 0.55, 0.02)","(0.15, 0.25, 0.02)","Take the block that is (-0.45, 0.0) from the green block and place it between the blocks that are coloured blue and coloured like the sun",0,2,[1 2],"(0.3, 0.25, 0.02)","(-0.15, 0.4, 0.02)","(-0.3, 0.55, 0.02)","(0.15, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.3, 0.25)
Green Cube: (0.15, 0.25)
Blue Cube: (-0.15, 0.4)
Yellow Cube: (-0.3, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
359,359,"(0.15, 0.55, 0.02)","(-0.15, 0.4, 0.02)","(-0.3, 0.55, 0.02)","(-0.3, 0.25, 0.02)",Take the block that is coloured blue and place it at [0.3  0.55],1,0,,"(0.15, 0.55, 0.02)","(0.3, 0.55, 0.02)","(-0.3, 0.55, 0.02)","(-0.3, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.15, 0.55)
Green Cube: (-0.3, 0.25)
Blue Cube: (-0.15, 0.4)
Yellow Cube: (-0.3, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
360,360,"(0.15, 0.25, 0.02)","(0.0, 0.25, 0.02)","(-0.3, 0.55, 0.02)","(0.0, 0.55, 0.02)",Take the block that is coloured crimson and place it -0.15 horizontally and 0.0 vertically relative to the block that is coloured the sad one,0,1,1,"(-0.15, 0.25, 0.02)","(0.0, 0.25, 0.02)","(-0.3, 0.55, 0.02)","(0.0, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.15, 0.25)
Green Cube: (0.0, 0.55)
Blue Cube: (0.0, 0.25)
Yellow Cube: (-0.3, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
363,363,"(0.15, 0.4, 0.02)","(0.3, 0.4, 0.02)","(0.15, 0.25, 0.02)","(-0.3, 0.55, 0.02)","Take the block that is (0.45, -0.15) from the green block and place it between the blocks that are coloured the color of money and coloured yellow",0,2,[3 2],"(-0.08, 0.4, 0.02)","(0.3, 0.4, 0.02)","(0.15, 0.25, 0.02)","(-0.3, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.15, 0.4)
Green Cube: (-0.3, 0.55)
Blue Cube: (0.3, 0.4)
Yellow Cube: (0.15, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
364,364,"(-0.3, 0.25, 0.02)","(0.0, 0.55, 0.02)","(0.15, 0.55, 0.02)","(0.3, 0.4, 0.02)",Take the block that is coloured the royal one and place it at [-0.3   0.55],1,0,,"(-0.3, 0.25, 0.02)","(-0.3, 0.55, 0.02)","(0.15, 0.55, 0.02)","(0.3, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.3, 0.25)
Green Cube: (0.3, 0.4)
Blue Cube: (0.0, 0.55)
Yellow Cube: (0.15, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
365,365,"(-0.15, 0.4, 0.02)","(-0.3, 0.25, 0.02)","(0.3, 0.55, 0.02)","(0.0, 0.55, 0.02)",Take the block that is coloured red and place it 0.3 horizontally and -0.3 vertically relative to the block that is coloured green,0,1,3,"(0.3, 0.25, 0.02)","(-0.3, 0.25, 0.02)","(0.3, 0.55, 0.02)","(0.0, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.15, 0.4)
Green Cube: (0.0, 0.55)
Blue Cube: (-0.3, 0.25)
Yellow Cube: (0.3, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
366,366,"(-0.3, 0.4, 0.02)","(-0.3, 0.25, 0.02)","(0.15, 0.4, 0.02)","(-0.3, 0.55, 0.02)",Take the block that is coloured lemon and place it between the blocks that are coloured red and coloured green,2,2,[0 3],"(-0.3, 0.4, 0.02)","(-0.3, 0.25, 0.02)","(0.0, 0.4, 0.02)","(-0.3, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.3, 0.4)
Green Cube: (-0.3, 0.55)
Blue Cube: (-0.3, 0.25)
Yellow Cube: (0.15, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
367,367,"(0.3, 0.25, 0.02)","(-0.3, 0.55, 0.02)","(-0.3, 0.25, 0.02)","(0.15, 0.25, 0.02)",Take the block that is coloured red and place it at [-0.15  0.55],0,0,,"(-0.15, 0.55, 0.02)","(-0.3, 0.55, 0.02)","(-0.3, 0.25, 0.02)","(0.15, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.3, 0.25)
Green Cube: (0.15, 0.25)
Blue Cube: (-0.3, 0.55)
Yellow Cube: (-0.3, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
368,368,"(0.3, 0.25, 0.02)","(-0.15, 0.55, 0.02)","(-0.15, 0.25, 0.02)","(-0.3, 0.55, 0.02)",Take the block that is coloured like the sun and place it -0.3 horizontally and 0.3 vertically relative to the block that is coloured like a fireball,2,1,0,"(0.3, 0.25, 0.02)","(-0.15, 0.55, 0.02)","(0.0, 0.55, 0.02)","(-0.3, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.3, 0.25)
Green Cube: (-0.3, 0.55)
Blue Cube: (-0.15, 0.55)
Yellow Cube: (-0.15, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
369,369,"(0.3, 0.4, 0.02)","(-0.15, 0.25, 0.02)","(-0.3, 0.25, 0.02)","(-0.15, 0.4, 0.02)",Take the block that is rightmost and place it at [0.3  0.25],0,0,,"(0.3, 0.25, 0.02)","(-0.15, 0.25, 0.02)","(-0.3, 0.25, 0.02)","(-0.15, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.3, 0.4)
Green Cube: (-0.15, 0.4)
Blue Cube: (-0.15, 0.25)
Yellow Cube: (-0.3, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
371,371,"(0.15, 0.4, 0.02)","(0.0, 0.25, 0.02)","(0.15, 0.25, 0.02)","(0.3, 0.4, 0.02)",Take the block that is coloured red and place it -0.3 horizontally and 0.0 vertically relative to the block that is coloured yellow,0,1,2,"(-0.15, 0.25, 0.02)","(0.0, 0.25, 0.02)","(0.15, 0.25, 0.02)","(0.3, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.15, 0.4)
Green Cube: (0.3, 0.4)
Blue Cube: (0.0, 0.25)
Yellow Cube: (0.15, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
372,372,"(0.0, 0.4, 0.02)","(0.0, 0.55, 0.02)","(-0.15, 0.4, 0.02)","(-0.3, 0.4, 0.02)","Take the block that is highest and place it between the blocks that are (0.15, 0.0) from the yellow block and coloured yellow",1,2,[0 2],"(0.0, 0.4, 0.02)","(0.0, 0.25, 0.02)","(-0.15, 0.4, 0.02)","(-0.3, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.0, 0.4)
Green Cube: (-0.3, 0.4)
Blue Cube: (0.0, 0.55)
Yellow Cube: (-0.15, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
373,373,"(-0.15, 0.25, 0.02)","(0.3, 0.25, 0.02)","(-0.3, 0.4, 0.02)","(-0.3, 0.25, 0.02)","Take the block that is (-0.6, 0.0) from the blue block and place it 0.0 horizontally and 0.3 vertically relative to the block that is coloured cobalt",3,1,1,"(-0.15, 0.25, 0.02)","(0.3, 0.25, 0.02)","(-0.3, 0.4, 0.02)","(0.3, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.15, 0.25)
Green Cube: (-0.3, 0.25)
Blue Cube: (0.3, 0.25)
Yellow Cube: (-0.3, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
378,378,"(0.15, 0.55, 0.02)","(0.15, 0.4, 0.02)","(0.3, 0.55, 0.02)","(-0.3, 0.25, 0.02)",Take the block that is coloured navy and place it between the blocks that are coloured the color of money and coloured red,1,2,[3 0],"(0.15, 0.55, 0.02)","(-0.08, 0.4, 0.02)","(0.3, 0.55, 0.02)","(-0.3, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.15, 0.55)
Green Cube: (-0.3, 0.25)
Blue Cube: (0.15, 0.4)
Yellow Cube: (0.3, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
379,379,"(0.3, 0.25, 0.02)","(-0.3, 0.55, 0.02)","(0.0, 0.4, 0.02)","(0.15, 0.25, 0.02)",Take the block that is rightmost and place it at [0.3  0.55],0,0,,"(0.3, 0.55, 0.02)","(-0.3, 0.55, 0.02)","(0.0, 0.4, 0.02)","(0.15, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.3, 0.25)
Green Cube: (0.15, 0.25)
Blue Cube: (-0.3, 0.55)
Yellow Cube: (0.0, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
382,382,"(-0.3, 0.25, 0.02)","(-0.15, 0.55, 0.02)","(-0.3, 0.55, 0.02)","(0.0, 0.55, 0.02)",Take the block that is coloured like a rose and place it 0.0 horizontally and -0.15 vertically relative to the block that is coloured butter-coloured,0,1,2,"(-0.3, 0.4, 0.02)","(-0.15, 0.55, 0.02)","(-0.3, 0.55, 0.02)","(0.0, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.3, 0.25)
Green Cube: (0.0, 0.55)
Blue Cube: (-0.15, 0.55)
Yellow Cube: (-0.3, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
385,385,"(0.3, 0.55, 0.02)","(0.15, 0.55, 0.02)","(-0.3, 0.25, 0.02)","(0.0, 0.4, 0.02)",Take the block that is coloured the color of warning signs and place it at [-0.3   0.55],2,0,,"(0.3, 0.55, 0.02)","(0.15, 0.55, 0.02)","(-0.3, 0.55, 0.02)","(0.0, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.3, 0.55)
Green Cube: (0.0, 0.4)
Blue Cube: (0.15, 0.55)
Yellow Cube: (-0.3, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
386,386,"(0.3, 0.25, 0.02)","(0.0, 0.25, 0.02)","(0.0, 0.4, 0.02)","(0.15, 0.55, 0.02)",Take the block that is coloured red and place it at [-0.3   0.25],0,0,,"(-0.3, 0.25, 0.02)","(0.0, 0.25, 0.02)","(0.0, 0.4, 0.02)","(0.15, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.3, 0.25)
Green Cube: (0.15, 0.55)
Blue Cube: (0.0, 0.25)
Yellow Cube: (0.0, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
387,387,"(-0.3, 0.25, 0.02)","(0.0, 0.25, 0.02)","(0.0, 0.4, 0.02)","(0.0, 0.55, 0.02)","Take the block that is (0.3, 0.15) from the red block and place it at [-0.15  0.4 ]",2,0,,"(-0.3, 0.25, 0.02)","(0.0, 0.25, 0.02)","(-0.15, 0.4, 0.02)","(0.0, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.3, 0.25)
Green Cube: (0.0, 0.55)
Blue Cube: (0.0, 0.25)
Yellow Cube: (0.0, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
388,388,"(0.3, 0.25, 0.02)","(0.3, 0.4, 0.02)","(0.0, 0.4, 0.02)","(-0.3, 0.4, 0.02)",Take the block that is coloured yellow and place it at [-0.15  0.4 ],2,0,,"(0.3, 0.25, 0.02)","(0.3, 0.4, 0.02)","(-0.15, 0.4, 0.02)","(-0.3, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.3, 0.25)
Green Cube: (-0.3, 0.4)
Blue Cube: (0.3, 0.4)
Yellow Cube: (0.0, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
391,391,"(0.0, 0.4, 0.02)","(0.3, 0.55, 0.02)","(-0.3, 0.55, 0.02)","(-0.15, 0.25, 0.02)",Take the block that is lowest and place it 0.45 horizontally and -0.3 vertically relative to the block that is coloured yellow,3,1,2,"(0.0, 0.4, 0.02)","(0.3, 0.55, 0.02)","(-0.3, 0.55, 0.02)","(0.15, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.0, 0.4)
Green Cube: (-0.15, 0.25)
Blue Cube: (0.3, 0.55)
Yellow Cube: (-0.3, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
392,392,"(0.3, 0.4, 0.02)","(0.15, 0.25, 0.02)","(-0.3, 0.4, 0.02)","(-0.3, 0.55, 0.02)",Take the block that is coloured like the sun and place it at [-0.15  0.4 ],2,0,,"(0.3, 0.4, 0.02)","(0.15, 0.25, 0.02)","(-0.15, 0.4, 0.02)","(-0.3, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.3, 0.4)
Green Cube: (-0.3, 0.55)
Blue Cube: (0.15, 0.25)
Yellow Cube: (-0.3, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
393,393,"(0.15, 0.4, 0.02)","(-0.3, 0.55, 0.02)","(-0.3, 0.25, 0.02)","(0.3, 0.25, 0.02)","Take the block that is (0.0, -0.3) from the blue block and place it 0.0 horizontally and 0.15 vertically relative to the block that is coloured red",2,1,0,"(0.15, 0.4, 0.02)","(-0.3, 0.55, 0.02)","(0.15, 0.55, 0.02)","(0.3, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.15, 0.4)
Green Cube: (0.3, 0.25)
Blue Cube: (-0.3, 0.55)
Yellow Cube: (-0.3, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
394,394,"(0.0, 0.4, 0.02)","(0.3, 0.25, 0.02)","(-0.3, 0.25, 0.02)","(0.3, 0.55, 0.02)",Take the block that is coloured gold and place it at [0.15 0.4 ],2,0,,"(0.0, 0.4, 0.02)","(0.3, 0.25, 0.02)","(0.15, 0.4, 0.02)","(0.3, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.0, 0.4)
Green Cube: (0.3, 0.55)
Blue Cube: (0.3, 0.25)
Yellow Cube: (-0.3, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
395,395,"(0.0, 0.4, 0.02)","(0.3, 0.55, 0.02)","(0.0, 0.55, 0.02)","(-0.15, 0.55, 0.02)",Take the block that is coloured emerald and place it at [-0.15  0.25],3,0,,"(0.0, 0.4, 0.02)","(0.3, 0.55, 0.02)","(0.0, 0.55, 0.02)","(-0.15, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.0, 0.4)
Green Cube: (-0.15, 0.55)
Blue Cube: (0.3, 0.55)
Yellow Cube: (0.0, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
398,398,"(-0.15, 0.55, 0.02)","(-0.3, 0.25, 0.02)","(-0.15, 0.25, 0.02)","(0.15, 0.55, 0.02)",Take the block that is coloured lemon and place it at [0.   0.55],2,0,,"(-0.15, 0.55, 0.02)","(-0.3, 0.25, 0.02)","(0.0, 0.55, 0.02)","(0.15, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.15, 0.55)
Green Cube: (0.15, 0.55)
Blue Cube: (-0.3, 0.25)
Yellow Cube: (-0.15, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
399,399,"(0.0, 0.25, 0.02)","(-0.15, 0.25, 0.02)","(0.0, 0.4, 0.02)","(-0.3, 0.25, 0.02)",Take the block that is highest and place it at [-0.15  0.55],2,0,,"(0.0, 0.25, 0.02)","(-0.15, 0.25, 0.02)","(-0.15, 0.55, 0.02)","(-0.3, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.0, 0.25)
Green Cube: (-0.3, 0.25)
Blue Cube: (-0.15, 0.25)
Yellow Cube: (0.0, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
400,400,"(-0.3, 0.55, 0.02)","(0.15, 0.25, 0.02)","(0.0, 0.4, 0.02)","(-0.3, 0.4, 0.02)",Take the block that is rightmost and place it 0.3 horizontally and -0.15 vertically relative to the block that is coloured the color of warning signs,1,1,2,"(-0.3, 0.55, 0.02)","(0.3, 0.25, 0.02)","(0.0, 0.4, 0.02)","(-0.3, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.3, 0.55)
Green Cube: (-0.3, 0.4)
Blue Cube: (0.15, 0.25)
Yellow Cube: (0.0, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
404,404,"(0.0, 0.25, 0.02)","(-0.15, 0.25, 0.02)","(0.0, 0.4, 0.02)","(0.15, 0.55, 0.02)",Take the block that is coloured green and place it at [0.   0.55],3,0,,"(0.0, 0.25, 0.02)","(-0.15, 0.25, 0.02)","(0.0, 0.4, 0.02)","(0.0, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.0, 0.25)
Green Cube: (0.15, 0.55)
Blue Cube: (-0.15, 0.25)
Yellow Cube: (0.0, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
405,405,"(-0.3, 0.4, 0.02)","(0.0, 0.4, 0.02)","(0.0, 0.25, 0.02)","(0.15, 0.4, 0.02)",Take the block that is coloured love-coloured and place it at [-0.15  0.4 ],0,0,,"(-0.15, 0.4, 0.02)","(0.0, 0.4, 0.02)","(0.0, 0.25, 0.02)","(0.15, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.3, 0.4)
Green Cube: (0.15, 0.4)
Blue Cube: (0.0, 0.4)
Yellow Cube: (0.0, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
407,407,"(0.3, 0.4, 0.02)","(0.15, 0.4, 0.02)","(-0.3, 0.55, 0.02)","(0.3, 0.55, 0.02)",Take the block that is coloured blue and place it at [0.15 0.25],1,0,,"(0.3, 0.4, 0.02)","(0.15, 0.25, 0.02)","(-0.3, 0.55, 0.02)","(0.3, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.3, 0.4)
Green Cube: (0.3, 0.55)
Blue Cube: (0.15, 0.4)
Yellow Cube: (-0.3, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
408,408,"(0.0, 0.4, 0.02)","(-0.15, 0.4, 0.02)","(0.3, 0.25, 0.02)","(0.0, 0.55, 0.02)",Take the block that is rightmost and place it at [0.15 0.4 ],2,0,,"(0.0, 0.4, 0.02)","(-0.15, 0.4, 0.02)","(0.15, 0.4, 0.02)","(0.0, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.0, 0.4)
Green Cube: (0.0, 0.55)
Blue Cube: (-0.15, 0.4)
Yellow Cube: (0.3, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
410,410,"(-0.3, 0.25, 0.02)","(0.3, 0.4, 0.02)","(0.15, 0.55, 0.02)","(0.0, 0.25, 0.02)",Take the block that is leftmost and place it at [0.15 0.4 ],0,0,,"(0.15, 0.4, 0.02)","(0.3, 0.4, 0.02)","(0.15, 0.55, 0.02)","(0.0, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.3, 0.25)
Green Cube: (0.0, 0.25)
Blue Cube: (0.3, 0.4)
Yellow Cube: (0.15, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
411,411,"(0.15, 0.4, 0.02)","(0.0, 0.4, 0.02)","(-0.15, 0.55, 0.02)","(0.3, 0.55, 0.02)",Take the block that is coloured used to signal 'hot' and place it -0.3 horizontally and 0.0 vertically relative to the block that is rightmost,0,1,3,"(0.0, 0.55, 0.02)","(0.0, 0.4, 0.02)","(-0.15, 0.55, 0.02)","(0.3, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.15, 0.4)
Green Cube: (0.3, 0.55)
Blue Cube: (0.0, 0.4)
Yellow Cube: (-0.15, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
414,414,"(0.15, 0.55, 0.02)","(0.0, 0.4, 0.02)","(0.15, 0.25, 0.02)","(-0.3, 0.55, 0.02)","Take the block that is (-0.15, -0.15) from the red block and place it at [0.3  0.25]",1,0,,"(0.15, 0.55, 0.02)","(0.3, 0.25, 0.02)","(0.15, 0.25, 0.02)","(-0.3, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.15, 0.55)
Green Cube: (-0.3, 0.55)
Blue Cube: (0.0, 0.4)
Yellow Cube: (0.15, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
415,415,"(0.15, 0.4, 0.02)","(-0.3, 0.55, 0.02)","(0.0, 0.55, 0.02)","(0.0, 0.4, 0.02)",Take the block that is coloured lemon and place it -0.15 horizontally and -0.15 vertically relative to the block that is rightmost,2,1,0,"(0.15, 0.4, 0.02)","(-0.3, 0.55, 0.02)","(0.0, 0.25, 0.02)","(0.0, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.15, 0.4)
Green Cube: (0.0, 0.4)
Blue Cube: (-0.3, 0.55)
Yellow Cube: (0.0, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
418,418,"(0.0, 0.55, 0.02)","(-0.15, 0.55, 0.02)","(0.3, 0.4, 0.02)","(-0.3, 0.4, 0.02)",Take the block that is coloured like the sun and place it 0.0 horizontally and -0.15 vertically relative to the block that is coloured blue,2,1,1,"(0.0, 0.55, 0.02)","(-0.15, 0.55, 0.02)","(-0.15, 0.4, 0.02)","(-0.3, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.0, 0.55)
Green Cube: (-0.3, 0.4)
Blue Cube: (-0.15, 0.55)
Yellow Cube: (0.3, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
419,419,"(0.3, 0.25, 0.02)","(-0.3, 0.55, 0.02)","(-0.15, 0.4, 0.02)","(-0.15, 0.25, 0.02)",Take the block that is coloured used to signal 'hot' and place it 0.45 horizontally and 0.0 vertically relative to the block that is leftmost,0,1,1,"(0.15, 0.55, 0.02)","(-0.3, 0.55, 0.02)","(-0.15, 0.4, 0.02)","(-0.15, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.3, 0.25)
Green Cube: (-0.15, 0.25)
Blue Cube: (-0.3, 0.55)
Yellow Cube: (-0.15, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
420,420,"(-0.15, 0.55, 0.02)","(0.0, 0.4, 0.02)","(0.3, 0.55, 0.02)","(0.15, 0.4, 0.02)",Take the block that is leftmost and place it 0.0 horizontally and 0.15 vertically relative to the block that is coloured mint,0,1,3,"(0.15, 0.55, 0.02)","(0.0, 0.4, 0.02)","(0.3, 0.55, 0.02)","(0.15, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.15, 0.55)
Green Cube: (0.15, 0.4)
Blue Cube: (0.0, 0.4)
Yellow Cube: (0.3, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
